vehicle_id,category,climatisation,color,condition,created_at,description,fuel_type,gearbox,klm_counter,mark,model,type,updated_at,year
3571,Sport,Très bonne état,Bleu,Peu Endommagé,2024-12-25 16:14:34.367254,veritatis aut dolores atque velit nemo autem harum fuga nisi vel suscipit voluptatum dolores sit illo harum cumque,Hybride,Automatique,9797,Mercedes-Benz,Classe A,Voiture,2024-12-25 16:14:34.367256,1977
3572,Chopper,Non fonctionnel,Noir,Peu Endommagé,2024-12-25 16:14:34.821696,fugit velit optio mollitia deleniti ut soluta ab minima nemo rerum porro et dolorum molestiae,Hybride,Manuel,144034,Suzuki,Hayabusa,Moto,2024-12-25 16:14:34.821705,1979
3573,Standard,Très bonne état,Noir,Occasion,2024-12-25 16:14:35.279551,dolorum id voluptatem sequi aut ratione vero nisi ea expedita aliquam repellendus et ut eveniet provident quisquam aut voluptas rerum fuga iusto,Hybride,Semi-Automatique,172086,Ducati,Streetfighter,Moto,2024-12-25 16:14:35.279558,2012
3574,Touring,Non fonctionnel,Vert,Neuf,2024-12-25 16:14:35.736752,mollitia enim nesciunt vitae quasi aperiam aperiam ratione eaque tempore dolorum sed nam molestiae totam autem nobis hic,Diesel,Manuel,131555,Kawasaki,Ninja ZX-10R,Moto,2024-12-25 16:14:35.736761,1985
3575,Pick-up,Moyenne état,Gris,Neuf,2024-12-25 16:14:36.197107,consequatur est qui eum sunt blanditiis officia maiores occaecati ratione et quia est illum ipsam quis distinctio repudiandae quisquam nostrum est rerum quod velit quisquam velit qui natus provident cum nihil hic omnis quia ut optio qui repellendus est,Diesel,Manuel,95695,Volkswagen,Tiguan,Voiture,2024-12-25 16:14:36.197114,2009
3576,Pick-up,Bonne état,Gris,Occasion,2024-12-25 16:14:36.705736,itaque et iste voluptas doloribus tenetur aut est excepturi et in minima et labore ut et eos temporibus eaque amet tenetur quidem laborum itaque qui hic voluptas,Électrique,Automatique,46577,Volkswagen,Passat,Voiture,2024-12-25 16:14:36.705745,1997
3577,Standard,Non fonctionnel,Rouge,Neuf,2024-12-25 16:14:37.17514,repellendus odit expedita voluptatem laborum voluptatibus dicta laudantium quo repellendus id ut commodi esse mollitia quia,Hybride,Manuel,58441,KTM,RC 390,Moto,2024-12-25 16:14:37.175148,1981
3578,Sport,Non fonctionnel,Bleu,Neuf,2024-12-25 16:14:37.636954,ipsa dolore quis molestiae sunt laborum tempore alias omnis id,Électrique,Semi-Automatique,95104,Mercedes-Benz,Classe B,Voiture,2024-12-25 16:14:37.636963,2014
3579,Break,Mauvaise état,Orange,Peu Endommagé,2024-12-25 16:14:38.098946,aspernatur ratione ratione ea sint eligendi ex necessitatibus voluptatem dolorem odio,Hybride,Automatique,6938,Honda,Insight,Voiture,2024-12-25 16:14:38.098954,1975
3580,Standard,Mauvaise état,Rose,Occasion,2024-12-25 16:14:38.566354,consequatur non officia recusandae harum dolor ab corporis consectetur et alias,Diesel,Automatique,52670,Kawasaki,Versys 650,Moto,2024-12-25 16:14:38.566362,2007
3581,Sport,Non fonctionnel,Vert,Neuf,2024-12-25 16:14:39.065264,iste ad provident ut nesciunt blanditiis repellat vitae eos quod ut soluta atque ipsum enim eum rem enim eius,Électrique,Manuel,172569,Kawasaki,Vulcan S,Moto,2024-12-25 16:14:39.065273,1987
3582,Scooter,Bonne état,Rouge,Occasion,2024-12-25 16:14:39.554734,facilis totam corporis repellendus et rerum et blanditiis sapiente et maxime in aliquam et omnis dignissimos reprehenderit suscipit accusamus dolore incidunt,Essence,Automatique,125669,Indian,Chieftain,Moto,2024-12-25 16:14:39.554737,1971
3583,Standard,Moyenne état,Gris,Peu Endommagé,2024-12-25 16:14:40.010305,quasi consequuntur doloremque culpa accusantium et nam aliquid qui et et dolorem cupiditate cupiditate eum voluptas impedit placeat ut est quae est dolores,Électrique,Semi-Automatique,56617,Kawasaki,Ninja ZX-10R,Moto,2024-12-25 16:14:40.010314,2021
3584,Roadster,Moyenne état,Gris,Neuf,2024-12-25 16:14:40.476114,aliquid et officia autem iusto molestiae optio consequuntur magni beatae veritatis reprehenderit iste velit accusantium consequuntur et porro necessitatibus nesciunt et voluptatum et debitis,Hybride,Manuel,48555,Mercedes-Benz,Classe A,Voiture,2024-12-25 16:14:40.476122,2018
3585,Crossover,Mauvaise état,Rouge,Occasion,2024-12-25 16:14:40.93419,quis nostrum consequuntur doloribus velit earum totam iure ducimus et deserunt rerum dolores dolorum dicta quas aut pariatur quidem reiciendis magnam a cumque adipisci dolores voluptates nostrum aperiam ipsum,Électrique,Manuel,138884,Hyundai,Veloster,Voiture,2024-12-25 16:14:40.934198,1978
3586,Sport,Mauvaise état,Orange,Neuf,2024-12-25 16:14:41.401824,voluptatem numquam vitae fuga laudantium porro totam fuga facere illum sint omnis nam id neque,Hybride,Automatique,36689,Honda,Passport,Voiture,2024-12-25 16:14:41.401832,1983
3587,Cafe Racer,Moyenne état,Rouge,Neuf,2024-12-25 16:14:41.883371,minima odit est totam earum ex quia tempora sunt maiores ut sunt,Hybride,Semi-Automatique,15123,Ducati,Scrambler,Moto,2024-12-25 16:14:41.88338,1981
3588,Berline,Très bonne état,Noir,Neuf,2024-12-25 16:14:43.03242,hic soluta non vel dolorem possimus totam voluptas in magni quia ea quas dicta soluta numquam reprehenderit nisi sint eos dignissimos nisi quae praesentium nam harum praesentium recusandae laudantium deleniti sit doloribus molestiae non dolore,Essence,Manuel,3004,Mercedes-Benz,Classe S,Voiture,2024-12-25 16:14:43.032429,2014
3589,Standard,Moyenne état,Rose,Neuf,2024-12-25 16:14:44.243556,quidem consequuntur dolores tenetur qui praesentium porro ut optio eveniet nesciunt animi in omnis cum adipisci dicta earum libero aut soluta cum ab ut,Essence,Automatique,192061,Yamaha,WR250R,Moto,2024-12-25 16:14:44.243564,2005
3590,Scooter,Moyenne état,Rouge,Neuf,2024-12-25 16:14:45.271336,nulla voluptas qui voluptatibus velit molestiae corporis nemo quis itaque voluptas doloremque ut quam voluptatem impedit voluptate earum eveniet earum sed et perspiciatis aperiam,Électrique,Automatique,134110,Triumph,Street Triple,Moto,2024-12-25 16:14:45.271344,1996
3591,Berline,Moyenne état,Orange,Neuf,2024-12-25 16:14:45.728335,sed vel velit ut modi dolor debitis non culpa laborum incidunt quibusdam dolor eos rem,Essence,Semi-Automatique,16839,Honda,Insight,Voiture,2024-12-25 16:14:45.728345,1990
3592,Monospace,Mauvaise état,Vert,Occasion,2024-12-25 16:14:46.183791,qui ducimus eligendi unde rerum consequatur neque velit qui ex dolores at perspiciatis et ut ullam aliquid reiciendis,Électrique,Manuel,191757,Hyundai,Azera,Voiture,2024-12-25 16:14:46.1838,1973
3593,Dual-Sport,Non fonctionnel,Rose,Peu Endommagé,2024-12-25 16:14:46.702808,sint quia dolores maiores est soluta commodi explicabo vel eligendi eum quod sapiente consectetur quas reprehenderit et eaque saepe aliquid aut ratione ea amet a assumenda voluptas,Hybride,Automatique,177795,Indian,Dark Horse,Moto,2024-12-25 16:14:46.702817,1980
3594,Hatchback,Moyenne état,Jaune,Peu Endommagé,2024-12-25 16:14:47.260222,ut error dolor expedita laboriosam enim dignissimos dolorem qui nulla vel consectetur cupiditate,Hybride,Manuel,148311,Ford,Fusion,Voiture,2024-12-25 16:14:47.260231,2006
3595,Berline,Mauvaise état,Jaune,Neuf,2024-12-25 16:14:47.718822,nobis laborum tempore qui fugiat veritatis assumenda voluptatem minima cumque ea nostrum nam atque consequatur neque sint libero ipsa et veniam qui a saepe doloremque est autem ducimus impedit vel ut voluptatum doloribus voluptatem quod rem eos,Hybride,Semi-Automatique,160363,BMW,Serie 1,Voiture,2024-12-25 16:14:47.71883,1993
3596,Chopper,Très bonne état,Gris,Occasion,2024-12-25 16:14:48.180527,molestiae beatae nobis molestiae error qui dolorum dolorum ullam dolores id quam corrupti dolore iste fugit quas id alias voluptatibus nostrum sed placeat aperiam et dolorum quibusdam itaque,Diesel,Semi-Automatique,45207,Indian,FTR,Moto,2024-12-25 16:14:48.180535,2007
3597,Sport,Non fonctionnel,Gris,Neuf,2024-12-25 16:14:48.645532,quam voluptates officia sed voluptas consequuntur qui assumenda sequi reiciendis in vero consectetur eligendi impedit qui porro quis qui voluptatem eaque laudantium laudantium voluptatum ad,Essence,Manuel,106767,Honda,Civic,Voiture,2024-12-25 16:14:48.645546,1970
3598,Sport,Non fonctionnel,Orange,Peu Endommagé,2024-12-25 16:14:49.164339,possimus labore expedita soluta minima et nihil quam iste facilis autem maxime ullam qui veritatis nulla odio ipsum illum quidem dolorum,Électrique,Semi-Automatique,42191,Indian,Springfield,Moto,2024-12-25 16:14:49.164346,1994
3599,Standard,Mauvaise état,Blanc,Occasion,2024-12-25 16:14:49.620283,veniam laudantium suscipit sequi cumque autem est possimus omnis magnam quo esse et fuga consequatur,Essence,Manuel,161160,BMW,F900R,Moto,2024-12-25 16:14:49.620287,2023
3600,Touring,Moyenne état,Gris,Neuf,2024-12-25 16:14:50.074353,at nobis sit iusto distinctio ut voluptates sint dignissimos autem,Électrique,Manuel,174767,Honda,CBR1000RR,Moto,2024-12-25 16:14:50.074361,2014
3601,Cafe Racer,Très bonne état,Rouge,Occasion,2024-12-25 16:14:50.532609,necessitatibus omnis aliquam vel vel nesciunt voluptatem ea velit et quis laboriosam est mollitia harum est repellat voluptatibus aut et ut rem nihil quia,Diesel,Manuel,17179,Suzuki,V-Strom 650,Moto,2024-12-25 16:14:50.532617,1984
3602,Adventure,Mauvaise état,Orange,Neuf,2024-12-25 16:14:50.986222,voluptas est voluptatem recusandae minima recusandae consequatur sed facilis exercitationem aut facere eligendi a fugiat pariatur illo reprehenderit consequuntur natus dolores voluptate,Diesel,Manuel,151240,BMW,F750GS,Moto,2024-12-25 16:14:50.986231,1982
3603,Cruiser,Non fonctionnel,Gris,Occasion,2024-12-25 16:14:51.440331,cum sunt et autem modi quam dolores voluptatem omnis facilis adipisci quo non tempora aut tempora ipsa neque quia explicabo optio voluptatem,Électrique,Manuel,194361,Yamaha,Tenere 700,Moto,2024-12-25 16:14:51.440339,1979
3604,Chopper,Moyenne état,Vert,Neuf,2024-12-25 16:14:51.895595,maiores repellendus alias dolorem similique explicabo velit aut aut omnis,Essence,Manuel,39237,Ducati,Panigale V4,Moto,2024-12-25 16:14:51.895603,2020
3605,SUV,Très bonne état,Noir,Peu Endommagé,2024-12-25 16:14:52.359482,officia adipisci quae corrupti et aut error quidem optio qui nisi molestiae ut ad facilis sint voluptatem quo minus unde esse facere neque ut commodi,Diesel,Semi-Automatique,92548,Audi,A3,Voiture,2024-12-25 16:14:52.35949,1984
3606,Monospace,Non fonctionnel,Vert,Neuf,2024-12-25 16:14:52.813376,ullam placeat tempora repellat nesciunt vitae officiis quia optio et non fugiat voluptatem quis itaque autem ut id harum unde veritatis culpa ipsum non veritatis inventore aut ut doloribus quod ut quod sed eos corrupti,Essence,Semi-Automatique,92826,BMW,Serie 5,Voiture,2024-12-25 16:14:52.813385,1979
3607,Standard,Moyenne état,Noir,Occasion,2024-12-25 16:14:53.270825,aut accusamus ratione autem accusantium sed alias excepturi quos sint ratione aut qui officiis ut molestiae est tempora amet autem corporis quae velit,Hybride,Semi-Automatique,46841,Indian,Chieftain,Moto,2024-12-25 16:14:53.270833,2011
3608,Cafe Racer,Non fonctionnel,Orange,Peu Endommagé,2024-12-25 16:14:53.726242,sint veritatis voluptatem ipsa molestiae eos cum illum nobis beatae praesentium et optio est nemo molestiae voluptate explicabo et voluptate eos et corporis sed eveniet ut aut neque et vero quos voluptates praesentium,Hybride,Manuel,139625,BMW,F850GS,Moto,2024-12-25 16:14:53.72625,1984
3609,Monospace,Non fonctionnel,Violet,Occasion,2024-12-25 16:14:54.190179,qui reiciendis laborum nostrum blanditiis deserunt doloremque vero ab ut quia doloremque voluptatem voluptatum tenetur quo magni dolore quod quo laborum necessitatibus in occaecati mollitia et est distinctio expedita delectus cumque velit molestiae ad reiciendis iure qui,Essence,Automatique,82826,Volkswagen,Arteon,Voiture,2024-12-25 16:14:54.190187,1977
3610,Chopper,Très bonne état,Bleu,Peu Endommagé,2024-12-25 16:14:54.643727,facere est autem minima porro natus asperiores eos dignissimos doloribus quos consectetur aperiam aut tempore facilis dolorem aut rerum sed eaque debitis ipsum praesentium sunt omnis ea occaecati quis natus eos maxime consequatur minus tempora,Électrique,Manuel,92087,Yamaha,MT-09,Moto,2024-12-25 16:14:54.643731,2013
3611,Cafe Racer,Moyenne état,Rose,Occasion,2024-12-25 16:14:55.118389,temporibus natus quia quis aut aut esse nulla ipsa exercitationem sit nostrum aut sint quia ea quos nisi earum sint hic sunt debitis sint perspiciatis non voluptas,Essence,Semi-Automatique,4074,Indian,Scout,Moto,2024-12-25 16:14:55.118399,2002
3612,Cruiser,Moyenne état,Jaune,Peu Endommagé,2024-12-25 16:14:55.575816,laboriosam nihil eaque quo odio id excepturi aperiam architecto quae deleniti qui et sint,Diesel,Automatique,198832,Honda,CB650R,Moto,2024-12-25 16:14:55.575824,1977
3613,SUV,Mauvaise état,Blanc,Neuf,2024-12-25 16:14:56.042672,aut reiciendis quaerat unde recusandae non eos nemo laborum exercitationem consequuntur dolore quidem assumenda non sequi et minima eum qui accusantium consequatur est aspernatur aliquid placeat quia corporis harum ut voluptatibus cumque enim vitae voluptatibus consequuntur animi tempore qui,Électrique,Manuel,139610,Toyota,Avalon,Voiture,2024-12-25 16:14:56.04268,1970
3614,Break,Bonne état,Noir,Occasion,2024-12-25 16:14:57.055596,non expedita consequuntur sed voluptatum in eveniet quia cupiditate ea dicta exercitationem architecto maiores,Diesel,Automatique,192999,Hyundai,Kona,Voiture,2024-12-25 16:14:57.055606,1987
3615,Break,Bonne état,Rose,Neuf,2024-12-25 16:14:58.224392,velit assumenda ut corporis error itaque eveniet nihil natus omnis commodi corrupti laboriosam accusantium quae sit in officia nobis voluptatem asperiores quia eligendi quam corporis ad et eius dolorem dolor architecto ea cupiditate perferendis reiciendis ipsam nesciunt ex,Diesel,Semi-Automatique,150058,Nissan,Pathfinder,Voiture,2024-12-25 16:14:58.224402,1978
3616,Standard,Bonne état,Noir,Occasion,2024-12-25 16:14:59.374686,debitis occaecati est dolore id alias dolore in sed blanditiis ea,Hybride,Manuel,78022,Harley-Davidson,V-Rod,Moto,2024-12-25 16:14:59.374689,1999
3617,Electric,Bonne état,Noir,Peu Endommagé,2024-12-25 16:14:59.891318,quo ipsa aut et sit mollitia error a consequatur ut harum qui repellat quo architecto quo natus tenetur facilis necessitatibus qui consequatur est aut voluptas ea inventore,Hybride,Semi-Automatique,43731,Ducati,Hypermotard,Moto,2024-12-25 16:14:59.891326,1978
3618,Electric,Non fonctionnel,Blanc,Peu Endommagé,2024-12-25 16:15:00.350737,deserunt harum inventore ea omnis laborum et est excepturi iusto ut non ab hic animi deserunt molestias vero,Électrique,Manuel,42726,Yamaha,V Star 250,Moto,2024-12-25 16:15:00.350746,1983
3619,Coupé,Moyenne état,Noir,Occasion,2024-12-25 16:15:00.801937,necessitatibus ut et sit voluptatum ipsum qui deleniti at laboriosam veniam natus ipsa consequatur sint eius a sed rem harum ea vel fugit facere cupiditate esse qui ducimus animi recusandae voluptas sapiente dignissimos cupiditate quasi facilis consequatur,Hybride,Semi-Automatique,190924,Toyota,Avalon,Voiture,2024-12-25 16:15:00.801946,1986
3620,Cafe Racer,Très bonne état,Gris,Neuf,2024-12-25 16:15:01.258201,quos ut aut saepe et nihil voluptatibus ad velit doloremque dolores quibusdam sequi voluptatem sed et consectetur dignissimos minima accusantium ut illo hic tempore laboriosam aut et perspiciatis sit dolores dolorem ab distinctio iure rerum qui qui impedit,Électrique,Manuel,78817,Triumph,Trident 660,Moto,2024-12-25 16:15:01.258209,1999
3621,SUV,Bonne état,Rouge,Occasion,2024-12-25 16:15:01.721648,recusandae aut aut necessitatibus et ratione aperiam nemo architecto similique est accusamus veritatis ut cumque,Hybride,Manuel,7302,Audi,A8,Voiture,2024-12-25 16:15:01.721657,1979
3622,Sport,Moyenne état,Jaune,Peu Endommagé,2024-12-25 16:15:02.17624,rerum ad omnis expedita sed autem ex suscipit quia consequatur vitae sed consequatur repellat sit velit,Électrique,Semi-Automatique,132450,Honda,CR-V,Voiture,2024-12-25 16:15:02.176247,1995
3623,Sport,Mauvaise état,Noir,Peu Endommagé,2024-12-25 16:15:02.63256,porro dolorem magnam molestiae facere exercitationem corporis nam id voluptatem cumque nihil corporis vel delectus cum earum eaque quisquam natus et ut illum voluptas aspernatur placeat praesentium,Hybride,Manuel,156047,Chevrolet,Suburban,Voiture,2024-12-25 16:15:02.632568,1998
3624,Coupé,Moyenne état,Rouge,Occasion,2024-12-25 16:15:03.098188,earum soluta aut nisi deserunt aut voluptatem aut sed beatae voluptatem eius minima neque exercitationem distinctio exercitationem distinctio tenetur,Hybride,Semi-Automatique,87840,Toyota,Sienna,Voiture,2024-12-25 16:15:03.098197,1981
3625,Adventure,Bonne état,Vert,Peu Endommagé,2024-12-25 16:15:03.558443,et et libero tempore earum reiciendis quibusdam sit nesciunt porro libero libero dolor illo eaque facilis qui est tenetur rerum quos nemo nesciunt dignissimos et,Diesel,Automatique,64088,BMW,F900R,Moto,2024-12-25 16:15:03.55845,1982
3626,Standard,Mauvaise état,Vert,Neuf,2024-12-25 16:15:04.014992,quaerat consequatur et autem quod nam ipsum aut nulla perferendis deleniti qui eos numquam rem magnam dolore est a ut eligendi ut,Diesel,Automatique,3246,Indian,Roadmaster,Moto,2024-12-25 16:15:04.015,1992
3627,Sport,Mauvaise état,Noir,Occasion,2024-12-25 16:15:04.470376,velit et minima quisquam fugit adipisci illum in vitae enim id aspernatur perferendis ea quam est laudantium blanditiis cupiditate aut maxime aut ut sed non velit aperiam,Essence,Manuel,93431,Ducati,Monster,Moto,2024-12-25 16:15:04.470379,1980
3628,Coupé,Mauvaise état,Gris,Peu Endommagé,2024-12-25 16:15:04.922011,deleniti corporis eius soluta placeat unde itaque rem totam est nisi culpa nobis consequatur dolor aperiam vel ut blanditiis cupiditate neque aut rem,Diesel,Automatique,146984,Volkswagen,Arteon,Voiture,2024-12-25 16:15:04.922018,2018
3629,Chopper,Bonne état,Violet,Neuf,2024-12-25 16:15:05.591241,quo voluptatibus maiores assumenda sunt sed et et natus et quia nam quam et voluptatibus perspiciatis ipsum ut dicta eligendi cum in placeat at sequi eligendi officiis,Électrique,Semi-Automatique,197721,Triumph,Rocket 3,Moto,2024-12-25 16:15:05.591249,2020
3630,Scooter,Très bonne état,Rouge,Peu Endommagé,2024-12-25 16:15:06.053785,ea officia ut harum sequi atque ad omnis sint a,Diesel,Semi-Automatique,45138,Ducati,XDiavel,Moto,2024-12-25 16:15:06.053795,1982
3631,Electric,Bonne état,Rouge,Neuf,2024-12-25 16:15:06.569701,sed eius est corrupti est quae aut aut perferendis vitae corrupti nihil temporibus officia qui nulla vero sint vero esse consequuntur beatae consequuntur voluptas nobis similique explicabo sit,Électrique,Semi-Automatique,153177,Yamaha,YZF-R1,Moto,2024-12-25 16:15:06.569708,2008
3632,Monospace,Bonne état,Blanc,Neuf,2024-12-25 16:15:07.022188,doloremque vel voluptatem aliquam cum voluptatem doloribus molestias nihil vel,Essence,Automatique,33337,Audi,A3,Voiture,2024-12-25 16:15:07.022196,2016
3633,Berline,Mauvaise état,Gris,Occasion,2024-12-25 16:15:07.476749,possimus accusantium voluptatibus veniam a et quia nam voluptatem saepe itaque tempore corrupti neque sed nostrum veniam ratione cumque molestias qui nam eum doloribus et,Hybride,Automatique,66886,Mercedes-Benz,Classe C,Voiture,2024-12-25 16:15:07.476757,1994
